symbol,entry_et,exit_et,exit_reason,src,held_overnight,overnight_pnl_pct,candidate,actual_pnl_pct,sell_open_pnl_pct,sell_10et_pnl_pct,open_vs_actual_pp,ten_vs_open_pp,notional
QLYS,2026-09-02T15:13:09-04:00,2026-09-03T09:46:12-04:00,nyse_fat_loser_trim,data\portal\users\dawimberly\books\alpaca_paper_v2\paper_journal.csv,True,-0.0031,False,-0.0143,0.0105,-0.009,2.479,-1.934,774.26
LNG,2026-09-02T14:42:13-04:00,2026-09-03T12:15:00-04:00,nyse_fat_loser_trim,data\portal\users\dawimberly\books\alpaca_paper_v2\paper_journal.csv,True,-0.0003,False,-0.0122,0.0003,-0.005,1.249,-0.537,2522.82
