date,coin,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2025-12-15 15:00,AVAX/USD,12.88,12.558,-2.9863,stop_loss,1.0
2025-12-16 01:00,SOL/USD,126.855,123.683625,-2.9863,stop_loss,10.0
2025-12-16 04:00,AVAX/USD,12.50765,12.194959,-2.9863,stop_loss,13.0
2025-12-18 14:00,SOL/USD,123.06,127.3671,2.9838,take_profit,21.0
2025-12-18 17:00,AVAX/USD,11.8975,11.600062,-2.9863,stop_loss,24.0
2025-12-18 19:00,AVAX/USD,11.64445,11.353339,-2.9863,stop_loss,2.0
2025-12-18 19:00,SOL/USD,121.564286,118.525179,-2.9863,stop_loss,1.0
2025-12-19 03:00,SOL/USD,117.486,121.59801,2.9838,take_profit,8.0
2025-12-19 03:00,AVAX/USD,11.2985,11.693948,2.9838,take_profit,8.0
2025-12-26 02:00,AVAX/USD,12.07695,12.499643,2.9838,take_profit,3.0
2025-12-31 12:00,SOL/USD,123.555,126.075,1.5307,timeout,48.0
2026-01-08 14:00,AVAX/USD,14.00365,13.653559,-2.9863,stop_loss,23.0
2026-01-11 16:00,SOL/USD,135.31025,140.046109,2.9838,take_profit,44.0
2026-01-15 15:00,AVAX/USD,14.1503,13.796542,-2.9863,stop_loss,12.0
2026-01-16 15:00,AVAX/USD,13.90995,13.562201,-2.9863,stop_loss,22.0
2026-01-17 14:00,AVAX/USD,13.37155,13.839554,2.9838,take_profit,22.0
2026-01-19 00:00,SOL/USD,137.7875,134.342812,-2.9863,stop_loss,1.0
2026-01-19 00:00,AVAX/USD,12.98,12.6555,-2.9863,stop_loss,1.0
2026-01-20 08:00,SOL/USD,133.7065,130.363837,-2.9863,stop_loss,32.0
2026-01-20 16:00,AVAX/USD,12.56965,12.255409,-2.9863,stop_loss,40.0
2026-01-20 22:00,SOL/USD,128.945,125.721375,-2.9863,stop_loss,14.0
2026-01-25 18:00,SOL/USD,122.639,126.931365,2.9838,take_profit,2.0
2026-01-25 19:00,SOL/USD,121.48,118.443,-2.9863,stop_loss,1.0
2026-01-26 01:00,SOL/USD,117.8135,121.936972,2.9838,take_profit,6.0
2026-01-26 01:00,AVAX/USD,11.29385,11.689135,2.9838,take_profit,6.0
2026-01-29 15:00,AVAX/USD,11.162902,10.88383,-2.9863,stop_loss,1.0
2026-01-29 18:00,SOL/USD,117.47069,121.582164,2.9838,take_profit,3.0
2026-01-30 01:00,AVAX/USD,10.9877,11.372269,2.9838,take_profit,10.0
2026-01-30 01:00,SOL/USD,115.626,112.73535,-2.9863,stop_loss,7.0
2026-01-31 16:00,SOL/USD,108.9965,106.271587,-2.9863,stop_loss,2.0
2026-01-31 17:00,AVAX/USD,10.10895,9.856226,-2.9863,stop_loss,3.0
2026-01-31 17:00,SOL/USD,106.1055,103.452863,-2.9863,stop_loss,1.0
2026-01-31 18:00,SOL/USD,103.131,100.552725,-2.9863,stop_loss,1.0
2026-01-31 18:00,AVAX/USD,9.774105,9.529752,-2.9863,stop_loss,1.0
2026-01-31 19:00,SOL/USD,101.8,105.363,2.9838,take_profit,1.0
2026-01-31 23:00,AVAX/USD,9.772615,10.114657,2.9838,take_profit,5.0
2026-01-31 23:00,SOL/USD,101.675,105.233625,2.9838,take_profit,4.0
2026-02-01 18:00,SOL/USD,101.6,105.156,2.9838,take_profit,3.0
2026-02-02 06:00,SOL/USD,98.18225,101.618629,2.9838,take_profit,1.0
2026-02-02 06:00,AVAX/USD,9.6667,10.005034,2.9838,take_profit,1.0
2026-02-03 20:00,SOL/USD,98.9875,102.452062,2.9838,take_profit,3.0
2026-02-03 20:00,AVAX/USD,9.742565,10.083555,2.9838,take_profit,3.0
2026-02-04 11:00,SOL/USD,97.8185,95.373037,-2.9863,stop_loss,11.0
2026-02-04 15:00,SOL/USD,92.964,96.21774,2.9838,take_profit,1.0
2026-02-04 16:00,SOL/USD,92.64285,95.88535,2.9838,take_profit,1.0
2026-02-04 17:00,SOL/USD,91.7902,95.002857,2.9838,take_profit,1.0
2026-02-04 18:00,SOL/USD,91.2545,94.448407,2.9838,take_profit,1.0
2026-02-04 19:00,AVAX/USD,9.686225,10.025243,2.9838,take_profit,3.0
2026-02-05 14:00,SOL/USD,88.34367,91.435698,2.9838,take_profit,1.0
2026-02-05 15:00,AVAX/USD,9.23335,9.002516,-2.9863,stop_loss,3.0
2026-02-05 16:00,SOL/USD,84.415,87.369525,2.9838,take_profit,1.0
2026-02-05 16:00,AVAX/USD,8.851675,9.161484,2.9838,take_profit,1.0
2026-02-05 17:00,SOL/USD,85.3955,83.260612,-2.9863,stop_loss,1.0
2026-02-05 20:00,SOL/USD,82.5235,80.460412,-2.9863,stop_loss,3.0
2026-02-05 20:00,AVAX/USD,8.81015,8.589896,-2.9863,stop_loss,3.0
2026-02-05 21:00,SOL/USD,78.6575,81.410512,2.9838,take_profit,1.0
2026-02-05 22:00,AVAX/USD,8.349335,8.140602,-2.9863,stop_loss,2.0
2026-02-05 22:00,SOL/USD,78.86425,81.624499,2.9838,take_profit,1.0
2026-02-05 23:00,SOL/USD,79.6333,82.420466,2.9838,take_profit,1.0
2026-02-06 00:00,AVAX/USD,8.36904,8.159814,-2.9863,stop_loss,2.0
2026-02-06 00:00,SOL/USD,78.2,76.245,-2.9863,stop_loss,1.0
2026-02-06 01:00,SOL/USD,75.39,78.02865,2.9838,take_profit,1.0
2026-02-06 05:00,SOL/USD,76.835,79.524225,2.9838,take_profit,3.0
2026-02-09 16:00,AVAX/USD,8.7565,9.062978,2.9838,take_profit,6.0
2026-02-09 17:00,SOL/USD,84.26,87.2091,2.9838,take_profit,8.0
2026-02-11 14:00,SOL/USD,80.826,83.65491,2.9838,take_profit,8.0
2026-02-11 14:00,AVAX/USD,8.558965,8.858529,2.9838,take_profit,8.0
2026-02-12 09:00,SOL/USD,78.9697,81.733639,2.9838,take_profit,16.0
2026-02-13 14:00,SOL/USD,78.24625,80.984869,2.9838,take_profit,22.0
2026-02-15 17:00,AVAX/USD,9.29643,9.621805,2.9838,take_profit,4.0
2026-02-18 14:00,SOL/USD,82.582,85.47237,2.9838,take_profit,1.0
2026-02-19 08:00,ARB/USD,0.108315,0.105607,-2.9863,stop_loss,13.0
2026-02-19 13:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,18.0
2026-02-19 13:00,ARB/USD,0.104289,0.101681,-2.9863,stop_loss,5.0
2026-02-19 15:00,ARB/USD,0.10035,0.097841,-2.9863,stop_loss,1.0
2026-02-20 05:00,ARB/USD,0.097979,0.09553,-2.9863,stop_loss,14.0
2026-02-20 15:00,ARB/USD,0.093735,0.097016,2.9838,take_profit,2.0
2026-02-23 07:00,WIF/USD,0.200245,0.207254,2.9838,take_profit,6.0
2026-02-23 07:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,6.0
2026-02-23 09:00,RENDER/USD,1.357825,1.405349,2.9838,take_profit,8.0
2026-02-24 01:00,WIF/USD,0.203505,0.198417,-2.9863,stop_loss,10.0
2026-02-24 09:00,RENDER/USD,1.37065,1.336384,-2.9863,stop_loss,17.0
2026-02-25 12:00,WIF/USD,0.194205,0.201002,2.9838,take_profit,7.0
2026-02-26 19:00,WIF/USD,0.203998,0.211138,2.9838,take_profit,3.0
2026-02-27 02:00,RENDER/USD,1.40205,1.451122,2.9838,take_profit,10.0
2026-02-27 04:00,BONK/USD,6e-06,6e-06,2.9838,take_profit,12.0
2026-02-27 13:00,AVAX/USD,9.1045,9.423157,2.9838,take_profit,3.0
2026-02-27 17:00,BONK/USD,6e-06,6e-06,-2.9863,stop_loss,6.0
