avg_crypto_exposure_pct,avg_exposure_pct,benchmark_return_pct,calmar,cofire_pct,crypto_contribution_pct,crypto_signals,end_date,final_equity,halt_events,halt_liquidations,max_drawdown_pct,nyse_signals,pause_days,resume_events,sharpe,sim_days,sortino,spy_signals,start_date,total_orders,total_return_pct,variant,variant_label,window,wisdom_mode
0.0,50.8,26.15,1.05,0.0,0.0,0,2026-06-05,12589.02,1,0,-24.59,20,6,0,0.7,500,0.88,21,2025-01-21,41,25.89,old,"Pre-recent stack (governor, full game plan, no overlap/sizing exits)",500d,governor
5.8,75.5,26.15,1.53,0.0,2.35,29,2026-06-05,13837.91,3,2,-25.14,23,100,2,0.91,500,1.23,68,2025-01-21,120,38.38,current_dynamic,"WISDOM_MODE=dynamic, yield-gate-only, halt resume; optimizations partial",500d,dynamic
13.3,77.4,26.15,1.27,3.4,12.51,35,2026-06-05,12291.49,5,3,-18.02,24,106,4,0.74,500,1.03,37,2025-01-21,96,22.91,new_optimized,Dynamic + yield-gate + overlap + adaptive/cofire + SPY MA exit + NYSE beta,500d,dynamic
0.0,60.7,74.1,3.21,0.0,0.0,0,2026-06-05,15241.93,1,0,-16.32,20,0,0,0.98,1000,1.17,21,2023-09-09,41,52.42,old,"Pre-recent stack (governor, full game plan, no overlap/sizing exits)",1000d,governor
0.0,70.1,74.1,3.31,0.0,0.0,0,2026-06-05,15615.5,3,1,-16.97,32,53,3,0.97,1000,1.17,40,2023-09-09,72,56.16,current_dynamic,"WISDOM_MODE=dynamic, yield-gate-only, halt resume; optimizations partial",1000d,dynamic
0.0,71.1,74.1,3.46,0.3,0.0,0,2026-06-05,15781.92,4,2,-16.73,36,51,4,1.0,1000,1.21,19,2023-09-09,55,57.82,new_optimized,Dynamic + yield-gate + overlap + adaptive/cofire + SPY MA exit + NYSE beta,1000d,dynamic
5.2,57.2,76.46,2.41,0.0,18.52,13,2026-06-05,18317.08,1,0,-34.53,11,151,0,0.56,1799,0.72,22,2021-07-02,46,83.17,old,"Pre-recent stack (governor, full game plan, no overlap/sizing exits)",2000d,governor
5.9,84.8,76.46,2.85,0.0,2.54,24,2026-06-05,20546.75,14,11,-37.01,23,316,14,0.63,1799,0.8,217,2021-07-02,264,105.47,current_dynamic,"WISDOM_MODE=dynamic, yield-gate-only, halt resume; optimizations partial",2000d,dynamic
6.6,85.9,76.46,2.23,3.6,2.55,19,2026-06-05,18392.73,14,12,-37.65,28,284,14,0.56,1799,0.72,170,2021-07-02,217,83.93,new_optimized,Dynamic + yield-gate + overlap + adaptive/cofire + SPY MA exit + NYSE beta,2000d,dynamic
