date,variant,coin,rsi_at_entry,position_pct,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2025-06-20 17:00,vCurrent,SOL/USD,,5.0,144.009,140.408775,-2.9863,stop_loss,3.0
2025-06-20 17:00,vCurrent,AVAX/USD,,5.0,17.49325,17.055919,-2.9863,stop_loss,1.0
2025-06-23 17:00,vCurrent,AVAX/USD,,5.0,16.37595,16.949108,2.9838,take_profit,1.0
2025-07-13 01:00,vCurrent,AVAX/USD,,5.0,20.3323,21.04393,2.9838,take_profit,10.0
2025-07-23 17:00,vCurrent,SOL/USD,,5.0,191.691,186.898725,-2.9863,stop_loss,3.0
2025-07-23 17:00,vCurrent,AVAX/USD,,5.0,24.13215,23.528846,-2.9863,stop_loss,3.0
2025-07-29 00:00,vCurrent,SOL/USD,,5.0,186.795,182.125125,-2.9863,stop_loss,8.0
2025-07-31 22:00,vCurrent,AVAX/USD,,5.0,23.02,22.4445,-2.9863,stop_loss,9.0
2025-08-01 00:00,vCurrent,SOL/USD,,5.0,175.5975,171.207562,-2.9863,stop_loss,10.0
2025-08-07 07:00,vCurrent,SOL/USD,,5.0,164.265,170.014275,2.9838,take_profit,41.0
2025-08-07 10:00,vCurrent,AVAX/USD,,5.0,21.925,22.692375,2.9838,take_profit,44.0
2025-08-14 21:00,vCurrent,SOL/USD,,5.0,195.0285,190.152788,-2.9863,stop_loss,8.0
2025-08-14 21:00,vCurrent,AVAX/USD,,5.0,23.96035,23.361341,-2.9863,stop_loss,8.0
2025-08-29 20:00,vCurrent,SOL/USD,,5.0,204.9,199.7775,-2.9863,stop_loss,4.0
2025-09-14 22:00,vCurrent,AVAX/USD,,5.0,29.30545,30.331141,2.9838,take_profit,9.0
2025-09-24 22:00,vCurrent,AVAX/USD,,5.0,33.576,32.7366,-2.9863,stop_loss,2.0
2025-10-10 15:00,vCurrent,SOL/USD,,5.0,217.3925,211.957688,-2.9863,stop_loss,23.0
2025-10-10 15:00,vCurrent,AVAX/USD,,5.0,27.6652,26.97357,-2.9863,stop_loss,23.0
2025-10-17 05:00,vCurrent,AVAX/USD,,5.0,21.103,20.575425,-2.9863,stop_loss,11.0
2025-10-17 07:00,vCurrent,SOL/USD,,5.0,183.2585,178.677037,-2.9863,stop_loss,9.0
2025-10-22 11:00,vCurrent,AVAX/USD,,5.0,19.7845,19.289888,-2.9863,stop_loss,13.0
2025-10-29 11:00,vCurrent,SOL/USD,,5.0,192.55,199.28925,2.9838,take_profit,15.0
2025-11-04 05:00,vCurrent,AVAX/USD,,5.0,16.745,16.326375,-2.9863,stop_loss,13.0
2025-11-09 14:00,vCurrent,AVAX/USD,,5.0,17.1395,17.739383,2.9838,take_profit,23.0
2025-11-13 03:00,vCurrent,AVAX/USD,,5.0,16.793,17.380755,2.9838,take_profit,11.0
2025-11-13 17:00,vCurrent,SOL/USD,,5.0,152.763,148.943925,-2.9863,stop_loss,25.0
2025-11-16 16:00,vCurrent,SOL/USD,,5.0,138.9095,135.436763,-2.9863,stop_loss,19.0
2025-11-16 16:00,vCurrent,AVAX/USD,,5.0,15.305468,14.922831,-2.9863,stop_loss,3.0
2025-11-19 21:00,vCurrent,AVAX/USD,,5.0,13.909,14.395815,2.9838,take_profit,5.0
2025-11-20 00:00,vCurrent,SOL/USD,,5.0,133.259,137.923065,2.9838,take_profit,8.0
2025-11-22 01:00,vCurrent,SOL/USD,,5.0,125.4405,129.830917,2.9838,take_profit,3.0
2025-11-30 18:00,vCurrent,SOL/USD,,5.0,137.212,138.585,0.4969,timeout,48.0
2025-12-15 15:00,vCurrent,AVAX/USD,,5.0,12.88,12.558,-2.9863,stop_loss,1.0
2025-12-18 19:00,vCurrent,SOL/USD,,5.0,121.564286,118.525179,-2.9863,stop_loss,1.0
2025-12-19 07:00,vCurrent,AVAX/USD,,5.0,11.53615,11.939915,2.9838,take_profit,13.0
2026-01-11 16:00,vCurrent,SOL/USD,,5.0,135.31025,140.046109,2.9838,take_profit,44.0
2026-02-03 20:00,vCurrent,SOL/USD,,5.0,98.8915,102.352702,2.9838,take_profit,1.0
2026-02-04 19:00,vCurrent,AVAX/USD,,5.0,9.686225,10.025243,2.9838,take_profit,3.0
2026-02-15 17:00,vCurrent,AVAX/USD,,5.0,9.29643,9.621805,2.9838,take_profit,4.0
2026-02-18 14:00,vCurrent,SOL/USD,,5.0,82.582,85.47237,2.9838,take_profit,1.0
2026-02-26 19:00,vCurrent,WIF/USD,,5.0,0.203998,0.211138,2.9838,take_profit,3.0
2026-02-27 02:00,vCurrent,RENDER/USD,,5.0,1.40205,1.451122,2.9838,take_profit,10.0
2026-02-27 04:00,vCurrent,BONK/USD,,5.0,6e-06,6e-06,2.9838,take_profit,12.0
2026-02-27 21:00,vCurrent,BONK/USD,,5.0,6e-06,6e-06,-2.9863,stop_loss,8.0
2026-03-02 00:00,vCurrent,RENDER/USD,,5.0,1.31535,1.361387,2.9838,take_profit,4.0
2026-03-02 01:00,vCurrent,WIF/USD,,5.0,0.189358,0.195985,2.9838,take_profit,6.0
2026-03-05 20:00,vCurrent,WIF/USD,,5.0,0.209569,0.216904,2.9838,take_profit,4.0
2026-03-05 21:00,vCurrent,RENDER/USD,,5.0,1.35634,1.403812,2.9838,take_profit,5.0
2026-03-06 13:00,vCurrent,BONK/USD,,5.0,6e-06,6e-06,-2.9863,stop_loss,21.0
2026-03-10 21:00,vCurrent,WIF/USD,,5.0,0.168585,0.16437,-2.9863,stop_loss,8.0
2026-03-18 12:00,vCurrent,RENDER/USD,,5.0,1.8067,1.761532,-2.9863,stop_loss,23.0
2026-04-02 01:00,vCurrent,SOL/USD,,5.0,81.84625,79.800094,-2.9863,stop_loss,4.0
2026-04-07 09:00,vCurrent,RENDER/USD,,5.0,1.8615,1.926652,2.9838,take_profit,11.0
2026-04-07 10:00,vCurrent,WIF/USD,,5.0,0.1801,0.175598,-2.9863,stop_loss,12.0
2026-04-07 15:00,vCurrent,BONK/USD,,5.0,6e-06,6e-06,2.9838,take_profit,17.0
2026-04-15 01:00,vCurrent,RENDER/USD,,5.0,1.83451,1.898718,2.9838,take_profit,7.0
2026-04-15 04:00,vCurrent,WIF/USD,,5.0,0.1908,0.18603,-2.9863,stop_loss,10.0
2026-04-15 04:00,vCurrent,BONK/USD,,5.0,6e-06,6e-06,2.9838,take_profit,10.0
2026-04-29 18:00,vCurrent,WIF/USD,,5.0,0.175453,0.181594,2.9838,take_profit,3.0
2026-04-29 18:00,vCurrent,BONK/USD,,5.0,6e-06,6e-06,-2.9863,stop_loss,3.0
2026-05-13 14:00,vCurrent,WIF/USD,,5.0,0.218597,0.226248,2.9838,take_profit,1.0
2026-05-13 15:00,vCurrent,RENDER/USD,,5.0,1.885485,1.838348,-2.9863,stop_loss,2.0
