date,coin,signal_type,entry_price,exit_price,pnl_pct,exit_reason,hold_hours
2025-12-18 17:00,ETH/USD,breakout,2961.7195,2887.676513,-2.9863,stop_loss,2.8
2025-12-18 17:00,LINK/USD,breakout,12.70185,12.384304,-2.9863,stop_loss,2.8
2025-12-18 19:15,PEPE/USD,mean_reversion,4e-06,4e-06,-2.9863,stop_loss,1.2
2025-12-18 19:45,AVAX/USD,mean_reversion,11.625,11.334375,-2.9863,stop_loss,1.5
2025-12-19 03:30,BCH/USD,breakout,563.56225,583.286929,2.9838,take_profit,13.0
2025-12-19 07:00,DOT/USD,mean_reversion,1.74562,1.806717,2.9838,take_profit,11.0
2025-12-19 15:00,BTC/USD,mean_reversion,85591.1,88586.7885,2.9838,take_profit,19.8
2025-12-20 07:30,BCH/USD,breakout,610.695,595.427625,-2.9863,stop_loss,13.2
2025-12-20 17:00,UNI/USD,breakout,5.940185,6.148091,2.9838,take_profit,2.2
2025-12-21 01:30,DOT/USD,breakout,1.8632,1.81662,-2.9863,stop_loss,33.0
2025-12-22 02:00,UNI/USD,mean_reversion,6.166755,6.012586,-2.9863,stop_loss,12.8
2025-12-22 20:45,AAVE/USD,mean_reversion,153.985,150.135375,-2.9863,stop_loss,4.0
2025-12-29 09:45,UNI/USD,mean_reversion,6.183715,6.029122,-2.9863,stop_loss,15.2
2026-01-01 13:30,DOT/USD,mean_reversion,1.773065,1.835122,2.9838,take_profit,19.2
2026-01-01 17:15,DOT/USD,breakout,1.85533,1.920267,2.9838,take_profit,3.2
2026-01-02 03:30,SHIB/USD,breakout,7e-06,8e-06,2.9838,take_profit,9.0
2026-01-02 03:45,DOGE/USD,breakout,0.124507,0.128864,2.9838,take_profit,12.0
2026-01-02 14:00,PEPE/USD,breakout,6e-06,6e-06,-2.9863,stop_loss,1.0
2026-01-02 16:30,DOT/USD,breakout,1.969265,2.038189,2.9838,take_profit,22.0
2026-01-02 20:00,DOGE/USD,breakout,0.135176,0.139907,2.9838,take_profit,4.2
2026-01-02 20:00,DOT/USD,breakout,2.048205,2.119892,2.9838,take_profit,2.0
2026-01-03 06:15,AAVE/USD,breakout,161.665,167.323275,2.9838,take_profit,10.0
2026-01-03 07:15,SHIB/USD,breakout,8e-06,8e-06,-2.9863,stop_loss,14.8
2026-01-05 22:30,UNI/USD,breakout,6.0265,6.237427,2.9838,take_profit,1.0
2026-01-05 23:15,UNI/USD,breakout,6.334115,6.175762,-2.9863,stop_loss,0.8
2026-01-06 15:00,DOT/USD,breakout,2.259605,2.203115,-2.9863,stop_loss,0.8
2026-01-06 16:30,SOL/USD,breakout,142.7,139.1325,-2.9863,stop_loss,2.2
2026-01-06 17:45,AAVE/USD,breakout,172.795,168.475125,-2.9863,stop_loss,23.5
2026-01-06 21:30,DOGE/USD,mean_reversion,0.145216,0.150299,2.9838,take_profit,3.5
2026-01-07 16:45,PEPE/USD,mean_reversion,7e-06,7e-06,2.9838,take_profit,3.8
2026-01-07 22:45,SHIB/USD,mean_reversion,9e-06,9e-06,-2.9863,stop_loss,28.8
2026-01-07 23:00,LINK/USD,mean_reversion,13.636,13.2951,-2.9863,stop_loss,28.8
2026-01-09 19:00,PEPE/USD,breakout,6e-06,6e-06,-2.9863,stop_loss,2.5
2026-01-11 16:15,SOL/USD,mean_reversion,135.182,139.91337,2.9838,take_profit,44.2
2026-01-11 20:00,DOGE/USD,mean_reversion,0.139406,0.13645,-2.609,timeout,48.0
2026-01-12 01:00,PEPE/USD,mean_reversion,6e-06,6e-06,2.9838,take_profit,2.2
2026-01-13 16:00,DOT/USD,breakout,2.18619,2.262707,2.9838,take_profit,1.8
2026-01-13 17:30,DOT/USD,breakout,2.29365,2.236309,-2.9863,stop_loss,1.5
2026-01-13 22:00,AVAX/USD,breakout,14.30335,14.803967,2.9838,take_profit,6.5
2026-01-14 15:00,DOGE/USD,breakout,0.148384,0.144674,-2.9863,stop_loss,17.0
2026-01-15 02:30,PEPE/USD,mean_reversion,6e-06,6e-06,-2.9863,stop_loss,7.5
2026-01-15 18:30,LINK/USD,breakout,14.04615,13.694996,-2.9863,stop_loss,44.5
2026-01-15 22:00,ETH/USD,breakout,3322.0005,3299.1525,-1.1831,timeout,48.0
2026-01-16 05:30,BCH/USD,mean_reversion,581.6755,602.034143,2.9838,take_profit,9.8
2026-01-16 15:30,LTC/USD,mean_reversion,72.9257,71.102558,-2.9863,stop_loss,22.8
2026-01-18 20:45,AAVE/USD,breakout,176.125,175.85,-0.6541,timeout,48.0
2026-01-18 20:45,SHIB/USD,breakout,8e-06,8e-06,-1.6707,timeout,48.0
