quarter,underlying,entry_date,occ,strike,expiry,contracts,premium_in,premium_spend_usd,cap_usd,exit_date,exit_reason,premium_out,pnl_usd,pnl_pct,dte_at_entry,spot_at_entry,otm_pct,fill_note
2024-Q1,SPY,2024-02-01,SPY240621P00428000,428.0,2024-06-21,1,3.53,353.0,750.0,2024-05-07,dte_45,0.22000000000000003,-330.99999999999994,-0.9376770538243625,141,489.22,0.12513797473529298,otm_10_15;monthly;no_historical_greeks;calendar_exit
2024-Q3,SPY,2024-07-01,SPY241115P00475000,475.0,2024-11-15,1,2.9699999999999998,297.0,750.0,2024-08-02,take_profit_2x,5.89,292.0,0.9831649831649832,137,545.2,0.12876008804108596,otm_10_15;monthly;no_historical_greeks;high_crossed_2x
2024-Q4,SPY,2024-10-04,SPY250321P00500000,500.0,2025-03-21,1,7.1499999999999995,715.0,750.0,2025-02-04,dte_45,0.6699999999999999,-648.0,-0.9062937062937063,168,572.935,0.1273006536518103,otm_10_15;monthly;no_historical_greeks;calendar_exit;entry_slip=2024-10-04_from_2024-10-01
2025-Q2,SPY,2025-04-01,SPY250815P00490000,490.0,2025-08-15,1,7.05,705.0,750.0,2025-04-04,take_profit_2x,14.049999999999999,699.9999999999999,0.9929078014184396,136,561.1,0.12671538050258424,otm_10_15;monthly;no_historical_greeks;high_crossed_2x
2025-Q3,SPY,2025-07-01,SPY251121P00540000,540.0,2025-11-21,1,6.76,676.0,750.0,2025-10-07,dte_45,0.73,-602.9999999999999,-0.8920118343195266,143,617.64,0.12570429376335723,otm_10_15;monthly;no_historical_greeks;calendar_exit
