ts_ct,qty_sold,px,qty_before,vti_val,equity,cash,cash_pct,vti_pct,sell_notional,kind,heuristic,would_skip_cash_need,cycle_lag_hours,cycle_stale,order_id
2026-06-01 14:46:12,2.028,373.74,11.929,4458,,,,,757.87,cash_unknown,cash_tight,False,,True,dab8b694-5465-481a-9176-81845624ea27
2026-06-16 14:13:09,81.049,370.75,221.433,82095,98919.0,2366.0,2.4,83.0,30048.45,cash_tight,cash_tight,False,0.003,False,a93b540d-fb3a-4e3d-85f4-bab46214ffd7
2026-06-16 14:14:27,80.036,370.71,220.425,81714,98912.0,29727.0,30.1,82.6,29670.43,cash_unused,cash_unused,True,0.004,False,9c108d5d-49b4-4709-90ae-3a82999a4a39
2026-06-16 14:15:25,80.043,370.68,220.421,81706,98905.0,29721.0,30.1,82.6,29670.5,cash_unused,cash_unused,True,0.0,False,44e88201-0b53-4b8e-8b11-42f8c4a6f12b
2026-06-16 14:17:13,80.059,370.39,220.463,81657,98867.0,29723.0,30.1,82.6,29653.23,cash_unused,cash_unused,True,0.012,False,873fda04-8d71-4fd0-9429-e16e793cfa5a
2026-06-16 14:18:11,80.036,370.57,220.432,81686,98837.0,29705.0,30.1,82.6,29658.99,cash_unused,cash_unused,True,0.004,False,267f64b3-1835-45aa-9a8d-5a76fc558fde
2026-06-16 14:19:11,80.027,370.62,220.425,81693,98863.0,29711.0,30.1,82.6,29659.38,cash_unused,cash_unused,True,0.001,False,4c62f355-d291-4a2e-82ad-db56d37d7825
2026-06-16 14:21:00,80.0,370.87,220.375,81730,98897.0,29714.0,30.0,82.6,29669.54,cash_unused,cash_unused,True,0.012,False,a53887c1-02df-48c6-ae72-6915ba875948
2026-06-16 14:22:09,80.023,370.85,220.369,81724,98925.0,29729.0,30.1,82.6,29676.45,cash_unused,cash_unused,True,0.012,False,1501af5d-a29a-4031-83af-4eb23e9f852e
2026-06-16 14:23:40,80.0,370.88,220.356,81725,98920.0,29733.0,30.1,82.6,29670.41,cash_unused,cash_unused,True,0.016,False,30b4466f-5dd7-4d12-bed2-861f6cad4221
2026-06-16 14:25:28,79.988,371.04,220.328,81751,98935.0,29726.0,30.0,82.6,29678.65,cash_unused,cash_unused,True,0.006,False,62aad0cf-d7bc-4f40-942c-92e59993735c
2026-06-16 14:26:26,80.0,370.88,220.334,81717,98941.0,29733.0,30.1,82.6,29670.35,cash_unused,cash_unused,True,0.005,False,c645043e-cae5-46de-8275-e72c9e94f424
2026-06-16 14:27:18,80.009,370.85,220.338,81713,98904.0,29723.0,30.1,82.6,29671.32,cash_unused,cash_unused,True,0.004,False,ffb1d10a-ad01-46d6-8b61-3d84c5e0bc52
2026-06-16 14:28:13,80.015,370.8,220.343,81703,98898.0,29721.0,30.1,82.6,29669.73,cash_unused,cash_unused,True,0.0,False,7a086850-93be-4c3e-855d-6e63963d65de
2026-06-16 14:30:04,79.993,370.91,220.323,81721,98900.0,29718.0,30.0,82.6,29670.54,cash_unused,cash_unused,True,0.015,False,98a7ef5c-7a1e-4aef-8f02-cdef44468079
2026-06-16 14:31:47,79.986,370.91,220.316,81718,98909.0,29718.0,30.0,82.6,29667.53,cash_unused,cash_unused,True,0.008,False,8460e98e-a053-48a2-9a9b-fc2df8e6c45a
