bin,mean_predicted,fraction_positive,count,calibration_gap
1,0.9315577738819023,0.4,30,0.5315577738819023
2,0.9649005918137876,0.3333333333333333,56,0.6315672584804544
3,0.9724287928372712,0.35294117647058826,50,0.6194876163666829
4,0.9779202133571341,0.43333333333333335,45,0.5445868800238007
5,0.9828670962739814,0.5833333333333334,1,0.399533762940648
6,0.9897968444027982,0.3944954128440367,0,0.5953014315587615
7,0.99356943929873,0.4642857142857143,108,0.5292837250130157
8,0.9958135994587282,0.6875,72,0.30831359945872816
