event,event_date,fights,accuracy,log_loss,brier_score,fights_with_odds,avg_best_edge
UFC Fight Night: Dern vs Ribas 2,2025-01-11,7,0.5714285714285714,1.6354717619706947,0.40621993227705416,5,0.6270767203757455
UFC 311: Makhachev vs. Moicano,2025-01-18,9,0.5555555555555556,2.102398954828265,0.43672951072628285,8,0.6022349355786745
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,8,0.375,2.001049430686244,0.564040101957224,8,0.5224778807910055
UFC 312: Du Plessis vs. Strickland 2,2025-02-08,6,0.3333333333333333,2.6039952484605497,0.6372036756057117,5,0.4921570590288459
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,10,0.3,3.117379294772864,0.6806714651828607,10,0.5656325356538192
UFC Fight Night: Cejudo vs. Song,2025-02-22,7,0.42857142857142855,2.1431481532763565,0.5264714498520648,7,0.6456790533902177
UFC Fight Night: Kape vs. Almabayev,2025-03-01,8,0.625,1.4163762875396753,0.35742844648835925,8,0.48100491271812573
UFC 313: Pereira vs. Ankalaev,2025-03-08,6,0.6666666666666666,1.5406985705185674,0.326845320939637,6,0.5462511721975797
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,7,0.2857142857142857,3.1394433546370046,0.6950275950291805,7,0.637710884960606
UFC Fight Night: Edwards vs. Brady,2025-03-22,7,0.42857142857142855,1.9631020234507832,0.5176567741521273,6,0.5589106251749693
UFC Fight Night: Moreno vs. Erceg,2025-03-29,10,0.2,3.520678914652232,0.774053638195164,7,0.6135326211700047
UFC Fight Night: Emmett vs. Murphy,2025-04-05,6,0.3333333333333333,2.7979816329617564,0.6408700207901787,6,0.6553392198763089
UFC 314: Volkanovski vs. Lopes,2025-04-12,12,0.3333333333333333,2.569611573690368,0.6221223665699358,12,0.5561671513608518
UFC Fight Night: Machado Garry vs. Prates,2025-04-26,11,0.18181818181818182,3.3642491287285434,0.7873903648587617,11,0.6628110813871241
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,11,0.36363636363636365,2.5611368182639738,0.60894110894409,10,0.5662242783289873
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,10,0.3,2.572422810775726,0.6506816711361413,10,0.5117538530161193
UFC Fight Night: Burns vs. Morales,2025-05-17,9,0.3333333333333333,2.679307398124264,0.6252027223911761,8,0.5486156489100269
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,8,0.75,1.0407037767720557,0.2416126546890833,7,0.5382775148108908
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,8,0.375,2.49624171128465,0.5965683991900006,7,0.45152998025653834
UFC Fight Night: Usman vs. Buckley,2025-06-14,9,0.7777777777777778,1.0417357181612958,0.21851121088801942,9,0.5258001443354842
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,8,0.75,1.216443747006541,0.24618604564888624,8,0.5311120192280306
UFC 317: Topuria vs. Oliveira,2025-06-28,8,0.375,2.7282405141633603,0.5973702464022198,7,0.4890377564742563
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,11,0.36363636363636365,2.580522557775829,0.6025499732613633,10,0.5320281744252318
UFC 318: Holloway vs. Poirier 3,2025-07-19,9,0.4444444444444444,2.4029136749152196,0.5385113670390699,2,0.5918904024424084
UFC Fight Night: Whittaker vs. de Ridder,2025-07-26,10,0.4,2.340856685668959,0.5699012890966885,10,0.5433049080650735
UFC Fight Night: Taira vs. Park,2025-08-02,10,0.5,2.1725393285692682,0.4857094482740747,9,0.5240500882037663
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,9,0.2222222222222222,3.2148658432011255,0.7350681433197475,8,0.6507653667182175
UFC 319: Du Plessis vs. Chimaev,2025-08-16,8,0.375,2.669224667992408,0.6054540008481957,7,0.5484691194945227
UFC Fight Night: Walker vs. Zhang,2025-08-23,9,0.6666666666666666,1.6523771596725296,0.33004216874214765,9,0.5415587714430125
UFC Fight Night: Imavov vs. Borralho,2025-09-06,7,0.7142857142857143,1.2528114889432003,0.27666526333189106,7,0.5195354038984746
Noche UFC: Lopes vs. Silva,2025-09-13,7,0.7142857142857143,1.4413519351236437,0.2819064498148736,6,0.3264878030464298
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,7,0.5714285714285714,2.0191464456938624,0.41978556956962665,7,0.5227069517571429
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,10,0.4,2.6762927001984567,0.5834677296634372,9,0.5566141156953618
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,8,0.5,1.953547910220574,0.47334411500992823,7,0.5343469126471497
UFC Fight Night: de Ridder vs. Allen,2025-10-18,9,0.5555555555555556,1.7142735930487534,0.41809066042647075,9,0.4601590660777608
UFC 321: Aspinall vs. Gane,2025-10-25,11,0.5454545454545454,1.863550661035693,0.4350326341153607,10,0.5940090014430833
UFC Fight Night: Garcia vs. Onama,2025-11-01,7,0.7142857142857143,1.058209076222543,0.26938580380429294,7,0.45809145742172014
UFC Fight Night: Bonfim vs. Brown,2025-11-08,10,0.3,2.662232883642462,0.6663632521032129,9,0.6549694932724125
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,11,0.18181818181818182,3.2009135868104654,0.7676601202951638,11,0.5602733259459028
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,8,0.5,2.172842880091236,0.486721779118727,8,0.5772641416701924
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,12,0.08333333333333333,3.336439289073718,0.8532223112180226,12,0.5077117048248546
UFC Fight Night: Royval vs. Kape,2025-12-14,4,0.5,1.8005322174273724,0.4699674644065564,0,
