fight_id,event_date,fighter_1,fighter_2,winner,weight_class,method,round,time,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedowns_attempted,sig_strikes_landed_f1,sig_strikes_attempted_f1,takedowns_landed_f1,takedowns_attempted_f1,sig_strikes_landed_f2,sig_strikes_attempted_f2,takedowns_landed_f2,takedowns_attempted_f2,finish,is_title_fight,is_main_event,f1_odds,f2_odds,fighter,opponent,won,side,opp_takedowns_landed,opp_takedowns_attempted,is_ko,is_sub,is_dec,ko_win,sub_win,fight_minutes,sig_strikes_per_min,td_defense_fight,f1_win_rate,f1_last5_win_rate,f1_momentum,f1_ko_rate,f1_sub_avg,f1_finish_rate,_sig_acc_fight,f1_sig_strike_acc,_td_acc_fight,f1_td_acc,f1_td_defense,f1_sig_strikes_per_min,f1_control_time_per_min,f1_days_since_last_fight,f1_fight_count,f1_striker_score,f1_grappler_score,f2_win_rate,f2_last5_win_rate,f2_momentum,f2_ko_rate,f2_sub_avg,f2_finish_rate,f2_sig_strike_acc,f2_td_acc,f2_td_defense,f2_sig_strikes_per_min,f2_control_time_per_min,f2_days_since_last_fight,f2_fight_count,f2_striker_score,f2_grappler_score,f1_elo,f2_elo,f1_win,age_diff,height_diff,reach_diff,stance_matchup,southpaw_advantage,striker_score_diff,grappler_score_diff,striker_vs_grappler,style_clash,win_rate_diff,striking_acc_diff,takedown_acc_diff,sub_avg_diff,ko_rate_diff,last5_winrate_diff,momentum_diff,sig_strikes_per_min_diff,td_defense_diff,control_time_diff,elo_diff,days_since_last_fight_diff,experience_diff,sig_strike_acc_diff,td_acc_diff,finish_rate_diff,scheduled_rounds,implied_prob_f1,implied_prob_f2,sentiment_f1,sentiment_f2,sentiment_diff,event,event_key,prob_f1_win,prob_f2_win,predicted_winner,correct,wf_train_rows,event_name,edge_f1,edge_f2,best_edge
401762880,2025-04-26,Polyana Viana,Jaqueline Amorim,Jaqueline Amorim,W Strawweight,,2,,,,,,,,,,,,,,0,0,0,610.0,-900.0,Polyana Viana,Jaqueline Amorim,0,1,,,0,0,0,0,0,7.5,,,0.0,0.0,0.0,0.0,0.0,0.6,,0.4,,0.35,0.65,1.3064199607513318,0.0,462.0,29,0.0979814970563498,0.0,1.0,1.0,1.0,0.0,0.4,0.4,0.4,0.35,0.65,1.2068288854003135,0.0,231.0,10,0.0905121664050235,0.08,1441.2715952089786,1573.9577384505628,0,0.0,0.0,0.0,0.0,0.0,0.0074693306513263,-0.08,0.0,0.0,-1.0,0.0,0.0,-0.4,0.0,-1.0,-1.0,0.099591075351018,0.0,0.0,-132.6861432415842,231.0,19.0,,,0.1999999999999999,3,0.13531799729364008,0.8646820027063599,0.0,0.0,0.0,UFC Fight Night: Machado Garry vs. Prates,UFC Fight Night: Machado Garry vs. Prates|2025-04-26,0.9653239338397981,0.03467606616020191,Polyana Viana,0,13224,UFC Fight Night: Machado Garry vs. Prates,0.8300059365461581,-0.830005936546158,0.8300059365461581
401761541,2025-04-26,Giga Chikadze,David Onama,David Onama,Featherweight,,3,,,,,,,,,,,,,,0,0,0,166.0,-198.0,Giga Chikadze,David Onama,0,1,,,0,0,0,0,0,12.5,,,0.6,0.6,0.4,0.0,0.0,0.0,,0.4,,0.35,0.65,3.433333333333334,0.0,273.0,30,0.2575,0.0,1.0,1.0,1.0,0.2,0.0,0.2,0.4,0.35,0.65,5.966666666666667,0.0,161.0,19,0.4875,0.0,1702.039295416159,1602.2875171002847,0,0.0,0.0,0.0,0.0,0.0,-0.2299999999999999,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,-0.2,-0.4,-0.6,-2.5333333333333328,0.0,0.0,99.75177831587392,112.0,11.0,,,-0.2,3,0.36135228209729836,0.6386477179027017,0.0,0.0,0.0,UFC Fight Night: Machado Garry vs. Prates,UFC Fight Night: Machado Garry vs. Prates|2025-04-26,0.982858439929108,0.01714156007089196,Giga Chikadze,0,13224,UFC Fight Night: Machado Garry vs. Prates,0.6215061578318097,-0.6215061578318097,0.6215061578318097
401763556,2025-05-03,Jeremy Stephens,Mason Jones,Mason Jones,Lightweight,,3,,,,,,,,,,,,,,0,0,0,460.0,-620.0,Jeremy Stephens,Mason Jones,0,1,,,0,0,0,0,0,12.5,,,0.0,0.0,0.0,0.0,0.0,0.8,,0.4,,0.35,0.65,3.646055437100213,0.0,1386.0,75,0.2734541577825159,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.4,0.35,0.65,4.333333333333333,0.0,1015.0,11,0.325,0.0,1460.3624739464642,1466.8240217143857,0,0.0,0.0,0.0,0.0,0.0,-0.051545842217484,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,-0.4,-0.2,-0.6872778962331196,0.0,0.0,-6.461547767921502,371.0,64.0,,,0.8,3,0.17175572519083973,0.8282442748091604,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9558953624112265,0.044104637588773477,Jeremy Stephens,0,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.7841396372203868,-0.7841396372203869,0.7841396372203868
401763554,2025-05-03,Deiveson Figueiredo,Cory Sandhagen,Cory Sandhagen,Bantamweight,,2,,,,,,,,,,,,,,0,0,0,400.0,-520.0,Deiveson Figueiredo,Cory Sandhagen,0,1,,,0,0,0,0,0,7.5,,,0.6,0.6,0.4,0.0,0.0,0.0,,0.4,,0.35,0.65,2.560000000000001,0.0,161.0,47,0.192,0.0,0.6,0.6,0.4,0.0,0.0,0.0,0.4,0.35,0.65,2.1,0.0,273.0,41,0.1575,0.0,1764.1664886894473,1770.1797772657992,0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4600000000000008,0.0,0.0,-6.013288576351897,-112.0,6.0,,,0.0,3,0.19254658385093168,0.8074534161490683,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9898382988043826,0.010161701195617434,Deiveson Figueiredo,0,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.7972917149534509,-0.7972917149534509,0.7972917149534509
401764797,2025-05-03,Montel Jackson,Daniel Marcos,Montel Jackson,Bantamweight,,3,,,,,,,,,,,,,,0,0,0,-225.0,188.0,Montel Jackson,Daniel Marcos,1,1,,,0,0,0,0,0,12.5,,,1.0,1.0,1.0,0.6,0.0,0.6,,0.4,,0.35,0.65,5.216216216216216,0.0,294.0,30,0.5112162162162162,0.0,0.8,0.8,0.88,0.0,0.0,0.0,0.4,0.35,0.65,8.0501312335958,0.0,139.0,11,0.45,0.0,1720.1214532732808,1644.9398763178983,1,0.0,0.0,0.0,0.0,0.0,0.0612162162162161,0.0,0.0,0.0,0.1999999999999999,0.0,0.0,0.0,0.6,0.1999999999999999,0.12,-2.833915017379585,0.0,0.0,75.18157695538252,155.0,19.0,,,0.6,3,0.6659815005138747,0.33401849948612544,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9898382988043826,0.010161701195617434,Montel Jackson,1,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.32385679829050784,-0.323856798290508,0.32385679829050784
401763455,2025-05-03,Gillian Robertson,Marina Rodriguez,Gillian Robertson,W Strawweight,,2,,,,,,,,,,,,,,0,0,0,-270.0,220.0,Gillian Robertson,Marina Rodriguez,1,1,,,0,0,0,0,0,7.5,,,1.0,1.0,1.0,0.0,0.0,0.0,,0.4,,0.35,0.65,4.300000000000001,0.0,175.0,50,0.3225,0.0,0.2,0.2,0.08,0.0,0.0,0.0,0.4,0.35,0.65,3.8333333333333335,0.0,210.0,38,0.2875,0.0,1629.0722365022514,1578.2850097236485,1,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.92,0.4666666666666672,0.0,0.0,50.78722677860287,-35.0,12.0,,,0.0,3,0.700162074554295,0.299837925445705,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9955345060893099,0.004465493910690066,Gillian Robertson,1,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.2953724315350149,-0.2953724315350149,0.2953724315350149
401763454,2025-05-03,Miesha Tate,Yana Santos,Yana Santos,W Bantamweight,,3,,,,,,,,,,,,,,0,0,0,-152.0,128.0,Miesha Tate,Yana Santos,0,1,,,0,0,0,0,0,12.5,,,0.4,0.4,0.6,0.0,0.2,0.2,,0.4,,0.35,0.65,4.255555555555556,0.0,518.0,29,0.3191666666666666,0.04,0.4,0.4,0.6,0.0,0.0,0.0,0.4,0.35,0.65,6.299999999999999,0.0,266.0,29,0.45,0.0,1532.388441479976,1514.824650792596,0,0.0,0.0,0.0,0.0,0.0,-0.1308333333333333,0.04,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-2.0444444444444434,0.0,0.0,17.56379068737988,252.0,0.0,,,0.2,3,0.578989574979952,0.42101042502004815,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9724590689749333,0.027540931025066717,Miesha Tate,0,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.3934694939949813,-0.39346949399498143,0.3934694939949813
401766949,2025-05-03,Gaston Bolaños,Quang Le,Quang Le,Bantamweight,,2,,,,,,,,,,,,,,0,0,0,,,Gaston Bolaños,Quang Le,0,1,,,0,0,0,0,0,7.5,,,0.6666666666666666,0.6666666666666666,0.6875,0.0,0.0,0.0,,0.4,,0.35,0.65,4.266666666666667,0.0,175.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4,0.35,0.65,3.324031007751938,0.0,161.0,4,0.2493023255813953,0.0,1514.1338370555345,1449.6822324355005,0,0.0,0.0,0.0,0.0,0.0,-0.2493023255813953,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.6875,0.13781025946102285,0.0,0.0,64.451604620034,14.0,-1.0,,,-0.25,3,,,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9935694392987293,0.006430560701270682,Gaston Bolaños,0,13235,UFC Fight Night: Sandhagen vs. Figueiredo,,,
401763453,2025-05-03,Santiago Ponzinibbio,Daniel Rodriguez,Daniel Rodriguez,Welterweight,,3,,,,,,,,,,,,,,0,0,0,-138.0,118.0,Santiago Ponzinibbio,Daniel Rodriguez,0,1,,,0,0,0,0,0,12.5,,,0.2,0.2,0.35,0.0,0.0,0.2,,0.4,,0.35,0.65,3.024958123953099,0.0,112.0,44,0.2268718592964824,0.0,0.4,0.4,0.6,0.0,0.0,0.2,0.4,0.35,0.65,8.333333333333334,0.0,203.0,35,0.45,0.0,1604.3571531233565,1632.3976210567205,0,0.0,0.0,0.0,0.0,0.0,-0.2231281407035175,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,-0.2,-0.25,-5.308375209380235,0.0,0.0,-28.04046793336397,-91.0,9.0,,,0.0,3,0.5583104446588968,0.44168955534110316,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9724590689749333,0.027540931025066717,Santiago Ponzinibbio,0,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.4141486243160365,-0.41414862431603644,0.4141486243160365
401763576,2025-05-03,Cameron Smotherman,Serhiy Sidey,Serhiy Sidey,Bantamweight,,3,,,,,,,,,,,,,,0,0,0,118.0,-138.0,Cameron Smotherman,Serhiy Sidey,0,1,,,0,0,0,0,0,12.5,,,0.6666666666666666,0.6666666666666666,0.75,0.0,0.0,0.0,,0.4,,0.35,0.65,6.4,0.0,196.0,3,0.45,0.0,0.6,0.6,0.6799999999999999,0.0,0.0,0.0,0.4,0.35,0.65,4.9,0.0,182.0,5,0.3675,0.0,1516.629205173926,1516.52037366832,0,0.0,0.0,0.0,0.0,0.0,0.0824999999999999,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0666666666666666,0.07,1.5,0.0,0.0,0.1088315056060764,14.0,-2.0,,,0.0,3,0.44168955534110316,0.5583104446588968,0.0,0.0,0.0,UFC Fight Night: Sandhagen vs. Figueiredo,UFC Fight Night: Sandhagen vs. Figueiredo|2025-05-03,0.9898382988043826,0.010161701195617434,Cameron Smotherman,0,13235,UFC Fight Night: Sandhagen vs. Figueiredo,0.5481487434632795,-0.5481487434632794,0.5481487434632795
